Id,PID,MS SubClass,lot_frontage,lot_area,Street,Alley,Lot Shape,Overall Qual,Overall Cond,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,gr_liv_area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Fence,Misc Feature,Mo Sold,Yr Sold,Sale Type,SalePrice,total_sqft,Total Baths,Deck and Porch Sqft,House Age,Remodel Age,BasmtFin Sqft,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Central Air_Y
109,533352170,60,68.0,13517,Pave,None,IR1,6,8,HdBoard,BrkFace,289.0,4,3,CBlock,3,3,No,GLQ,Unf,192.0,725.0,5,SBrkr,1479,3,1,4,6,Typ,0,0,Attchd,1976.0,RFn,2.0,475.0,3,3,Y,None,None,3,2010,WD ,130500,1479,2.5,44,35,6,533.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
544,531379050,60,43.0,11492,Pave,None,IR1,7,5,VinylSd,BrkFace,132.0,4,3,PConc,4,3,No,GLQ,Unf,276.0,913.0,5,SBrkr,2122,4,1,4,8,Typ,1,3,Attchd,1997.0,RFn,2.0,559.0,3,3,Y,None,None,4,2009,WD ,220000,2122,3.5,74,15,14,637.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
153,535304180,20,68.0,7922,Pave,None,Reg,5,7,VinylSd,None,0.0,3,4,CBlock,3,3,No,GLQ,Unf,326.0,1057.0,3,SBrkr,1057,3,1,4,5,Typ,0,0,Detchd,1953.0,Unf,1.0,246.0,3,3,Y,None,None,1,2010,WD ,109000,1057,2.0,52,58,4,731.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
318,916386060,60,73.0,9802,Pave,None,Reg,5,5,VinylSd,None,0.0,3,3,PConc,4,3,No,Unf,Unf,384.0,384.0,4,SBrkr,1444,3,1,3,7,Typ,0,0,BuiltIn,2007.0,Fin,2.0,400.0,3,3,Y,None,None,4,2010,WD ,174000,1444,2.5,100,5,4,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
255,906425045,50,82.0,14235,Pave,None,IR1,6,8,Wd Sdng,None,0.0,3,3,PConc,2,4,No,Unf,Unf,676.0,676.0,3,SBrkr,1445,3,1,3,6,Typ,0,0,Detchd,1957.0,Unf,2.0,484.0,3,3,N,None,None,3,2010,WD ,138500,1445,2.0,59,111,18,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
138,535126040,20,137.0,16492,Pave,None,IR1,6,6,BrkFace,None,0.0,4,3,CBlock,3,3,No,ALQ,Rec,557.0,1517.0,5,SBrkr,1888,2,1,4,6,Mod,1,4,Attchd,1966.0,Fin,2.0,578.0,3,3,Y,None,None,6,2010,WD ,190000,1888,2.5,0,45,9,960.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2827,908186070,180,35.0,3675,Pave,None,Reg,6,5,VinylSd,BrkFace,82.0,3,3,PConc,4,3,Gd,GLQ,Unf,0.0,547.0,4,SBrkr,1072,2,1,3,5,Typ,0,0,Basment,2005.0,Fin,2.0,525.0,3,3,Y,None,None,6,2006,New,140000,1072,3.0,44,6,5,547.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
145,535154050,20,68.0,12160,Pave,None,IR1,5,5,Plywood,BrkFace,180.0,3,3,CBlock,3,3,No,Rec,Unf,188.0,1188.0,2,SBrkr,1188,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,2.0,531.0,3,3,Y,MnPrv,None,5,2010,COD,142000,1188,2.0,0,52,52,1000.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1942,535353130,20,68.0,15783,Pave,None,Reg,5,5,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,Rec,Unf,632.0,924.0,3,SBrkr,924,2,1,3,6,Typ,0,0,Detchd,1952.0,Unf,1.0,420.0,3,3,Y,MnPrv,Shed,6,2007,WD ,112500,924,1.0,324,59,59,292.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1956,535426130,60,70.0,11606,Pave,None,IR1,5,5,Plywood,BrkFace,192.0,3,3,PConc,4,3,Av,Rec,Unf,390.0,1040.0,3,SBrkr,2080,5,1,2,9,Typ,2,3,Attchd,1969.0,Unf,2.0,504.0,3,3,Y,None,None,9,2007,WD ,135000,2080,2.5,335,42,42,650.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
